 1:18 2:172 3:0 4:6 5:0 #738
 1:0 2:0 3:0 4:0 5:0 #744
 1:0 2:0 3:0 4:0 5:0 #750
 1:0 2:0 3:0 4:2 5:0 #756
 1:0 2:0 3:0 4:3 5:5 #762
 1:0 2:2 3:3 4:11 5:3 #768
 1:0 2:0 3:0 4:0 5:0 #774
 1:0 2:0 3:0 4:0 5:6 #780
 1:2 2:0 3:0 4:0 5:7 #786
 1:0 2:0 3:0 4:0 5:3 #792
 1:0 2:0 3:0 4:0 5:5 #798
 1:0 2:0 3:0 4:0 5:0 #804
 1:0 2:0 3:0 4:0 5:0 #810
 1:0 2:0 3:0 4:0 5:6 #816
 1:0 2:0 3:0 4:5 5:0 #822
 1:0 2:0 3:3 4:0 5:6 #828
 1:0 2:0 3:0 4:0 5:0 #834
 1:0 2:0 3:1 4:0 5:4 #840
 1:0 2:0 3:0 4:0 5:6 #846
 1:0 2:0 3:3 4:0 5:5 #852
 1:0 2:1 3:3 4:9 5:0 #858
 1:0 2:0 3:0 4:0 5:0 #864
 1:0 2:0 3:0 4:11 5:5 #870
 1:0 2:0 3:2 4:9 5:10 #876
 1:0 2:0 3:3 4:9 5:11 #882
 1:0 2:9 3:0 4:4 5:1 #888
 1:0 2:0 3:0 4:0 5:0 #894
 1:1 2:0 3:3 4:3 5:0 #900
 1:0 2:0 3:3 4:3 5:9 #906
 1:0 2:5 3:0 4:0 5:2 #912
 1:0 2:11 3:4 4:6 5:8 #918
 1:0 2:0 3:0 4:2 5:0 #924
 1:0 2:0 3:0 4:4 5:6 #930
 1:0 2:0 3:0 4:9 5:2 #936
 1:0 2:2 3:0 4:0 5:7 #942
 1:0 2:0 3:0 4:3 5:3 #948
 1:0 2:0 3:0 4:2 5:9 #954
 1:0 2:0 3:0 4:3 5:0 #960
 1:0 2:0 3:0 4:5 5:3 #966
 1:1 2:0 3:0 4:3 5:5 #972
 1:0 2:0 3:0 4:3 5:2 #978
 1:0 2:0 3:0 4:10 5:0 #984
 1:0 2:0 3:0 4:0 5:1 #990
