 0:0 1:0 2:0 3:0 4:0 #360
 0:0 1:0 2:0 3:0 4:0 #366
 0:2 1:0 2:0 3:0 4:0 #372
 0:3 1:0 2:0 3:0 4:0 #378
 0:2 1:0 2:0 3:0 4:0 #384
 0:0 1:0 2:0 3:0 4:0 #390
 0:0 1:0 2:0 3:0 4:0 #396
 0:0 1:0 2:0 3:0 4:0 #402
 0:0 1:0 2:0 3:0 4:0 #408
 0:0 1:0 2:0 3:0 4:0 #414
 0:0 1:0 2:0 3:0 4:0 #420
 0:0 1:0 2:0 3:0 4:0 #426
 0:0 1:0 2:0 3:0 4:0 #432
 0:0 1:0 2:0 3:0 4:0 #438
 0:0 1:0 2:0 3:0 4:0 #444
 0:1 1:0 2:0 3:0 4:0 #450
 0:0 1:0 2:0 3:0 4:0 #456
 0:0 1:0 2:0 3:0 4:0 #462
 0:0 1:0 2:0 3:0 4:0 #468
 0:0 1:0 2:0 3:0 4:0 #474
 0:0 1:0 2:0 3:0 4:0 #480
 0:0 1:0 2:0 3:0 4:0 #486
 0:0 1:0 2:0 3:0 4:1 #492
 0:0 1:0 2:0 3:0 4:0 #498
 0:0 1:0 2:0 3:0 4:1 #504
 0:0 1:0 2:0 3:0 4:0 #510
 0:0 1:0 2:0 3:0 4:0 #516
 0:0 1:0 2:0 3:0 4:0 #522
 0:0 1:0 2:0 3:0 4:0 #528
 0:0 1:0 2:0 3:0 4:0 #534
 0:0 1:0 2:0 3:0 4:0 #540
 0:0 1:0 2:0 3:0 4:0 #546
 0:0 1:0 2:0 3:0 4:0 #552
 0:0 1:0 2:0 3:0 4:0 #558
 0:0 1:0 2:0 3:0 4:0 #564
 0:8 1:0 2:0 3:0 4:1 #570
 0:14 1:20 2:13 3:0 4:0 #576
 0:54 1:9 2:12 3:1 4:0 #582
 0:53 1:19 2:13 3:0 4:0 #588
 0:12 1:3 2:4 3:0 4:0 #594
 0:189 1:61 2:29 3:2 4:0 #600
 0:278 1:135 2:71 3:0 4:1 #606
 0:255 1:93 2:95 3:0 4:0 #612
 0:218 1:117 2:85 3:0 4:0 #618
 0:29 1:28 2:26 3:0 4:0 #624
 0:135 1:68 2:83 3:2 4:0 #630
 0:169 1:91 2:60 3:0 4:0 #636
 0:107 1:77 2:96 3:0 4:0 #642
 0:106 1:68 2:68 3:1 4:1 #648
 0:12 1:9 2:19 3:0 4:0 #654
 0:5 1:9 2:5 3:0 4:0 #660
 0:53 1:20 2:18 3:0 4:0 #666
 0:43 1:18 2:37 3:1 4:0 #672
 0:68 1:64 2:46 3:0 4:0 #678
 0:11 1:17 2:25 3:0 4:1 #684
 0:38 1:16 2:19 3:0 4:0 #690
 0:54 1:53 2:35 3:0 4:3 #696
 0:50 1:47 2:39 3:3 4:0 #702
 0:33 1:34 2:30 3:1 4:0 #708
 0:13 1:5 2:5 3:0 4:0 #714
 0:78 1:65 2:49 3:3 4:0 #720
 0:62 1:69 2:49 3:0 4:0 #726
 0:182 1:123 2:115 3:0 4:0 #732
 0:16 1:73 2:125 3:0 4:7 #738
 0:2 1:0 2:0 3:0 4:0 #744
 0:0 1:0 2:0 3:0 4:0 #750
 0:1 1:0 2:0 3:0 4:3 #756
 0:2 1:0 2:0 3:1 4:7 #762
 0:0 1:0 2:1 3:0 4:15 #768
 0:0 1:0 2:0 3:0 4:0 #774
 0:0 1:0 2:0 3:0 4:11 #780
 0:1 1:0 2:0 3:0 4:13 #786
 0:0 1:0 2:0 3:0 4:7 #792
