 1:0 2:0 3:0 #564
 1:0 2:0 3:0 #570
 1:17 2:0 3:0 #576
 1:37 2:1 3:0 #582
 1:29 2:0 3:0 #588
 1:9 2:1 3:0 #594
 1:75 2:2 3:0 #600
 1:208 2:0 3:0 #606
 1:187 2:1 3:0 #612
 1:184 2:12 3:0 #618
 1:50 2:10 3:0 #624
 1:147 2:7 3:0 #630
 1:137 2:0 3:0 #636
 1:158 2:1 3:0 #642
 1:147 2:8 3:1 #648
 1:30 2:3 3:0 #654
 1:18 2:0 3:0 #660
 1:45 2:0 3:0 #666
 1:48 2:1 3:0 #672
 1:85 2:3 3:0 #678
 1:33 2:0 3:0 #684
 1:35 2:4 3:0 #690
 1:83 2:0 3:0 #696
 1:108 2:1 3:0 #702
 1:24 2:12 3:0 #708
 1:13 2:0 3:0 #714
 1:151 2:9 3:0 #720
 1:110 2:10 3:0 #726
 1:212 2:8 3:0 #732
 1:178 2:12 3:0 #738
 1:0 2:0 3:0 #744
 1:0 2:0 3:0 #750
 1:0 2:0 3:1 #756
 1:0 2:0 3:4 #762
 1:0 2:3 3:7 #768
 1:0 2:0 3:0 #774
 1:0 2:0 3:6 #780
 1:0 2:0 3:14 #786
 1:0 2:0 3:3 #792
 1:0 2:1 3:8 #798
 1:0 2:0 3:0 #804
 1:0 2:0 3:0 #810
 1:0 2:0 3:6 #816
 1:0 2:3 3:0 #822
 1:0 2:4 3:5 #828
 1:0 2:0 3:0 #834
 1:0 2:4 3:4 #840
 1:0 2:0 3:6 #846
 1:0 2:9 3:2 #852
 1:0 2:9 3:3 #858
 1:0 2:0 3:0 #864
 1:3 2:9 3:5 #870
 1:0 2:8 3:11 #876
 1:0 2:13 3:13 #882
 1:9 2:1 3:6 #888
 1:0 2:0 3:0 #894
 1:0 2:2 3:0 #900
 1:0 2:6 3:10 #906
 1:0 2:7 3:1 #912
 1:9 2:8 3:3 #918
 1:0 2:1 3:0 #924
 1:0 2:5 3:3 #930
 1:0 2:11 3:2 #936
 1:2 2:3 3:12 #942
 1:0 2:3 3:6 #948
 1:0 2:0 3:11 #954
 1:0 2:0 3:1 #960
 1:0 2:0 3:6 #966
 1:0 2:0 3:6 #972
 1:0 2:0 3:7 #978
 1:0 2:0 3:3 #984
 1:0 2:0 3:8 #990
 1:0 2:0 3:12 #996
 1:0 2:4 3:4 #1002
 1:0 2:0 3:5 #1008
 1:0 2:0 3:7 #1014
 1:0 2:0 3:8 #1020
 1:0 2:0 3:4 #1026
 1:0 2:0 3:6 #1032
 1:0 2:0 3:0 #1038
 1:0 2:0 3:10 #1044
 1:0 2:3 3:6 #1050
 1:0 2:0 3:0 #1056
 1:0 2:6 3:1 #1062
 1:0 2:1 3:1 #1068
 1:0 2:2 3:0 #1074
 1:0 2:1 3:3 #1080
 1:0 2:1 3:0 #1086
 1:0 2:0 3:3 #1092
 1:1 2:7 3:1 #1098
 1:0 2:0 3:0 #1104
 1:0 2:0 3:1 #1110
 1:0 2:0 3:0 #1116
 1:0 2:4 3:3 #1122
 1:0 2:6 3:9 #1128
 1:2 2:6 3:1 #1134
 1:1 2:0 3:4 #1140
 1:0 2:0 3:8 #1146
 1:3 2:1 3:2 #1152
 1:0 2:2 3:5 #1158
 1:0 2:0 3:4 #1164
 1:0 2:1 3:2 #1170
 1:0 2:0 3:0 #1176
 1:0 2:0 3:6 #1182
 1:0 2:0 3:7 #1188
 1:0 2:0 3:6 #1194
 1:0 2:0 3:5 #1200
 1:0 2:0 3:5 #1206
 1:0 2:0 3:0 #1212
 1:0 2:5 3:0 #1218
 1:0 2:1 3:0 #1224
 1:1 2:0 3:0 #1230
 1:0 2:6 3:0 #1236
 1:1 2:5 3:0 #1242
 1:0 2:2 3:0 #1248
 1:0 2:0 3:0 #1254
 1:0 2:1 3:0 #1260
 1:0 2:0 3:0 #1266
 1:0 2:1 3:0 #1272
 1:0 2:0 3:0 #1278
 1:0 2:8 3:0 #1284
 1:0 2:0 3:0 #1290
