-1 1:0 2:0 3:4 4:16 5:0 #2100
-1 1:0 2:6 3:5 4:33 5:0 #2106
-1 1:0 2:0 3:3 4:12 5:5 #2112
-1 1:0 2:3 3:6 4:43 5:22 #2118
-1 1:0 2:7 3:22 4:37 5:22 #2124
-1 1:6 2:0 3:1 4:5 5:0 #2130
-1 1:0 2:0 3:0 4:0 5:2 #2136
-1 1:0 2:0 3:1 4:0 5:0 #2142
#-1 1:0 2:0 3:0 4:0 5:0 #2148
#-1 1:0 2:0 3:0 4:0 5:0 #2154
-1 1:0 2:0 3:1 4:0 5:2 #2160
-1 1:0 2:0 3:0 4:0 5:1 #2166
#-1 1:0 2:0 3:0 4:0 5:0 #2172
-1 1:0 2:0 3:3 4:0 5:0 #2178
-1 1:0 2:0 3:0 4:1 5:0 #2184
-1 1:0 2:0 3:4 4:0 5:0 #2190
-1 1:0 2:0 3:2 4:15 5:0 #2196
-1 1:1 2:0 3:5 4:7 5:1 #2202
-1 1:0 2:3 3:1 4:2 5:3 #2208
-1 1:0 2:1 3:9 4:6 5:1 #2214
-1 1:0 2:2 3:3 4:12 5:0 #2220
-1 1:0 2:0 3:2 4:7 5:2 #2226
-1 1:0 2:2 3:3 4:20 5:2 #2232
-1 1:6 2:0 3:4 4:24 5:12 #2238
-1 1:0 2:1 3:17 4:37 5:5 #2244
-1 1:0 2:0 3:27 4:67 5:6 #2250
-1 1:0 2:0 3:1 4:22 5:8 #2256
-1 1:0 2:0 3:1 4:1 5:1 #2262
-1 1:0 2:3 3:5 4:3 5:4 #2268
-1 1:2 2:0 3:1 4:2 5:0 #2274
-1 1:2 2:2 3:6 4:8 5:0 #2280
-1 1:0 2:0 3:0 4:11 5:3 #2286
-1 1:0 2:0 3:3 4:1 5:0 #2292
-1 1:0 2:0 3:11 4:7 5:1 #2298
-1 1:3 2:0 3:3 4:11 5:1 #2304
-1 1:0 2:5 3:13 4:7 5:5 #2310
-1 1:0 2:4 3:5 4:2 5:6 #2316
-1 1:0 2:0 3:0 4:1 5:0 #2322
-1 1:0 2:0 3:8 4:3 5:1 #2328
-1 1:0 2:0 3:3 4:14 5:3 #2334
#-1 1:0 2:0 3:0 4:0 5:0 #2340
#-1 1:0 2:0 3:0 4:0 5:0 #2346
-1 1:0 2:1 3:0 4:1 5:0 #2352
-1 1:0 2:6 3:7 4:0 5:1 #2358
-1 1:0 2:4 3:21 4:2 5:0 #2364
-1 1:7 2:6 3:26 4:0 5:0 #2370
-1 1:0 2:2 3:7 4:0 5:0 #2376
-1 1:1 2:5 3:7 4:0 5:0 #2382
-1 1:0 2:5 3:1 4:0 5:2 #2388
-1 1:0 2:2 3:0 4:3 5:1 #2394
-1 1:0 2:0 3:0 4:0 5:2 #2400
-1 1:0 2:0 3:4 4:0 5:8 #2406
-1 1:0 2:0 3:0 4:3 5:8 #2412
-1 1:0 2:0 3:0 4:0 5:14 #2418
-1 1:0 2:0 3:0 4:7 5:8 #2424
-1 1:0 2:1 3:0 4:0 5:0 #2430
