? 1:209098 2:20863.1 3:477.298 #239
? 1:350834 2:42237.5 3:291.368 #240
? 1:137365000 2:93816.3 3:247.364 #241
? 1:132572000 2:183155 3:275.326 #242
? 1:140919000 2:33039.3 3:436.516 #243
? 1:136906000 2:53839.2 3:230.639 #244
? 1:138633000 2:24789.3 3:180.014 #245
? 1:139162000 2:26197.8 3:167.151 #246
? 1:341014 2:15635.8 3:244.322 #247
? 1:135826000 2:31350 3:356.23 #248
? 1:135565000 2:42607.7 3:441.209 #249
? 1:135138000 2:47519.9 3:398.768 #250
? 1:137413000 2:13096.5 3:519.587 #251
? 1:134524000 2:25974.9 3:605.9 #252
? 1:135571000 2:28060 3:757.734 #253
? 1:135395000 2:17181.9 3:814.732 #254
? 1:450012 2:14729.7 3:259.654 #255
? 1:277111 2:11273.4 3:181.066 #256
? 1:686709 2:9569.67 3:152.898 #257
? 1:235904 2:9046.3 3:104.982 #258
? 1:473243 2:8464.23 3:79.8462 #259
? 1:127955000 2:11079.6 3:182.975 #260
? 1:131902000 2:36213.5 3:687.471 #261
? 1:129803000 2:40988.5 3:882.975 #262
? 1:132343000 2:29852.3 3:336.231 #263
? 1:129562000 2:226309 3:275.452 #264
? 1:217276 2:47294.3 3:245.919 #265
? 1:9116.96 2:26860 3:428.147 #266
? 1:10999.1 2:24314.9 3:521.841 #267
? 1:2071.4 2:20041.4 3:239.767 #268
? 1:1308.39 2:45652 3:171.771 #269
? 1:792.941 2:8480.07 3:146.047 #270
? 1:11122.8 2:27380.9 3:152.019 #271
? 1:122991000 2:55460.6 3:151.376 #272
? 1:4261.36 2:29824.2 3:140.06 #273
? 1:845.17 2:10854.4 3:135.731 #274
? 1:542.912 2:4480.29 3:139.822 #275
? 1:479.006 2:91055.1 3:282.709 #276
? 1:666.787 2:37273.7 3:219.648 #277
? 1:322.095 2:17362.3 3:413.841 #278
? 1:436.73 2:60180.3 3:427.2 #279
? 1:782.676 2:62943 3:185.167 #280
? 1:45892.5 2:57507.2 3:208.169 #281
? 1:126798000 2:329522 3:328.763 #282
? 1:129139000 2:28943.7 3:283.325 #283
? 1:129696000 2:64813.5 3:311.581 #284
? 1:9094.27 2:104055000 3:261.735 #285
? 1:22786.9 2:219144 3:415.657 #286
? 1:129872000 2:106492000 3:270.979 #287
? 1:44695.7 2:11032000 3:420.612 #288
? 1:21249.3 2:223004 3:617.349 #289
? 1:16480.2 2:124034 3:401.816 #290
? 1:131954000 2:371928 3:423.664 #291
? 1:127276000 2:11198000 3:361.642 #292
? 1:38803.7 2:79873 3:338.501 #293
? 1:2106.3 2:25787.7 3:299.309 #294
? 1:1006.61 2:20600.9 3:261.342 #295
? 1:759.953 2:26169.9 3:238.061 #296
? 1:636.525 2:28461.2 3:220.234 #297
? 1:766.803 2:15866.1 3:243.28 #298
? 1:1194.33 2:12437.2 3:261.026 #299
? 1:1905.55 2:25193.6 3:242.887 #300
? 1:13190 2:14282.1 3:299.027 #301
? 1:15492.8 2:25684.2 3:1029.33 #302
? 1:2156.76 2:21107.6 3:2318.06 #303
? 1:821.369 2:21807.6 3:1413.72 #304
? 1:1202.78 2:71915.9 3:697.503 #305
? 1:4580.81 2:352344 3:619.209 #306
? 1:1994.65 2:63765.3 3:366.297 #307
? 1:2040.55 2:81641.7 3:234.061 #308
? 1:2385.81 2:215547 3:257.58 #309
? 1:18748.8 2:154254 3:254.773 #310
? 1:124268000 2:84892.2 3:383.078 #311
? 1:123871000 2:221465 3:209.571 #312
? 1:9211.55 2:50115.5 3:180.565 #313
? 1:822.885 2:69207.6 3:159.22 #314
? 1:1125.73 2:71796.2 3:150.455 #315
? 1:4338.79 2:85399.6 3:163.269 #316
? 1:1481.28 2:293197 3:199.489 #317
? 1:837.187 2:118998000 3:472.825 #318
? 1:1472.94 2:31354.7 3:531.552 #319
? 1:7797.76 2:115369 3:382.796 #320
? 1:127282000 2:599366 3:249.364 #321
? 1:3743.33 2:54693.1 3:181.934 #322
? 1:986.323 2:56132.4 3:172.733 #323
? 1:771.846 2:159153 3:180.211 #324
? 1:850.459 2:576770 3:244.069 #325
? 1:919.821 2:232328 3:359.967 #326
