? 1:125.948 2:140.853 3:54.5743 #153 @ data/20140226_h_10fps.avi
? 1:133.883 2:142.604 3:45.5864 #154 @ data/20140226_h_10fps.avi
? 1:133.159 2:142.978 3:49.4907 #155 @ data/20140226_h_10fps.avi
? 1:131.991 2:141.152 3:70.3375 #156 @ data/20140226_h_10fps.avi
? 1:128.18 2:138.383 3:70.649 #157 @ data/20140226_h_10fps.avi
? 1:125.895 2:144.401 3:49.2475 #158 @ data/20140226_h_10fps.avi
? 1:127.869 2:151.845 3:46.9201 #159 @ data/20140226_h_10fps.avi
? 1:128.36 2:141.034 3:45.7547 #160 @ data/20140226_h_10fps.avi
? 1:127.919 2:138.514 3:46.9345 #161 @ data/20140226_h_10fps.avi
? 1:129.215 2:131.132 3:48.9374 #162 @ data/20140226_h_10fps.avi
? 1:133.872 2:126.757 3:49.2327 #163 @ data/20140226_h_10fps.avi
? 1:137.527 2:130.735 3:47.7005 #164 @ data/20140226_h_10fps.avi
? 1:134.839 2:129.779 3:73.6287 #165 @ data/20140226_h_10fps.avi
? 1:134.443 2:123.51 3:52.3594 #166 @ data/20140226_h_10fps.avi
? 1:131.554 2:123.581 3:51.4998 #167 @ data/20140226_h_10fps.avi
? 1:129.897 2:130.92 3:52.0709 #168 @ data/20140226_h_10fps.avi
? 1:130.822 2:138.344 3:47.0967 #169 @ data/20140226_h_10fps.avi
? 1:129.854 2:135.129 3:46.2746 #170 @ data/20140226_h_10fps.avi
? 1:129.651 2:134.46 3:47.9335 #171 @ data/20140226_h_10fps.avi
? 1:131.531 2:129.316 3:47.7983 #172 @ data/20140226_h_10fps.avi
? 1:137.428 2:126.436 3:46.9927 #173 @ data/20140226_h_10fps.avi
? 1:140.596 2:128.585 3:47.8278 #174 @ data/20140226_h_10fps.avi
? 1:136.587 2:125.333 3:46.9391 #175 @ data/20140226_h_10fps.avi
? 1:135.183 2:122.917 3:46.2449 #176 @ data/20140226_h_10fps.avi
? 1:132.614 2:119.987 3:45.5414 #177 @ data/20140226_h_10fps.avi
? 1:132.08 2:120.767 3:48.381 #178 @ data/20140226_h_10fps.avi
? 1:134.331 2:124.166 3:46.3664 #179 @ data/20140226_h_10fps.avi
? 1:132.596 2:122.81 3:47.5445 #180 @ data/20140226_h_10fps.avi
? 1:132.588 2:127.883 3:49.4435 #181 @ data/20140226_h_10fps.avi
? 1:133.573 2:127.441 3:49.3393 #182 @ data/20140226_h_10fps.avi
? 1:139.216 2:126.48 3:69.4443 #183 @ data/20140226_h_10fps.avi
? 1:143.362 2:130.964 3:50.8045 #184 @ data/20140226_h_10fps.avi
? 1:139.752 2:126.093 3:53.2609 #185 @ data/20140226_h_10fps.avi
? 1:136.956 2:121.682 3:72.6585 #186 @ data/20140226_h_10fps.avi
? 1:132.611 2:119.454 3:46.9275 #187 @ data/20140226_h_10fps.avi
? 1:130.918 2:124.149 3:47.0529 #188 @ data/20140226_h_10fps.avi
? 1:131.677 2:125.907 3:47.1521 #189 @ data/20140226_h_10fps.avi
? 1:128.715 2:125.697 3:48.0917 #190 @ data/20140226_h_10fps.avi
? 1:128.47 2:127.963 3:52.0089 #191 @ data/20140226_h_10fps.avi
? 1:130.81 2:125.178 3:53.4586 #192 @ data/20140226_h_10fps.avi
? 1:136.292 2:124.865 3:55.7835 #193 @ data/20140226_h_10fps.avi
? 1:140.833 2:129.762 3:73.6878 #194 @ data/20140226_h_10fps.avi
? 1:134.24 2:125.815 3:55.318 #195 @ data/20140226_h_10fps.avi
? 1:130.41 2:121.149 3:53.3777 #196 @ data/20140226_h_10fps.avi
? 1:129.701 2:119.594 3:51.8961 #197 @ data/20140226_h_10fps.avi
? 1:130.059 2:122.175 3:50.2217 #198 @ data/20140226_h_10fps.avi
? 1:131.922 2:122.451 3:72.6631 #199 @ data/20140226_h_10fps.avi
? 1:128.721 2:117.099 3:50.6673 #200 @ data/20140226_h_10fps.avi
? 1:128.899 2:117.875 3:71.2628 #201 @ data/20140226_h_10fps.avi
? 1:131.172 2:115.962 3:74.4455 #202 @ data/20140226_h_10fps.avi
? 1:136.798 2:115.934 3:78.3099 #203 @ data/20140226_h_10fps.avi
? 1:139.527 2:121.541 3:53.9088 #204 @ data/20140226_h_10fps.avi
? 1:136.752 2:122.016 3:83.8167 #205 @ data/20140226_h_10fps.avi
? 1:137.18 2:121.421 3:85.2357 #206 @ data/20140226_h_10fps.avi
? 1:130.487 2:125.82 3:83.4868 #207 @ data/20140226_h_10fps.avi
? 1:128.154 2:131.048 3:65.0375 #208 @ data/20140226_h_10fps.avi
? 1:128.453 2:129.412 3:64.0952 #209 @ data/20140226_h_10fps.avi
? 1:129.462 2:128.222 3:67.2203 #210 @ data/20140226_h_10fps.avi
? 1:128.715 2:122.768 3:39.1472 #211 @ data/20140226_h_10fps.avi
? 1:136.226 2:115.219 3:36.7272 #212 @ data/20140226_h_10fps.avi
? 1:148.113 2:112.626 3:38.4586 #213 @ data/20140226_h_10fps.avi
? 1:135.083 2:118.307 3:69.9554 #214 @ data/20140226_h_10fps.avi
? 1:104.062 2:114.403 3:70.5443 #215 @ data/20140226_h_10fps.avi
? 1:103.159 2:111.574 3:93.497 #216 @ data/20140226_h_10fps.avi
? 1:99.2395 2:117.982 3:91.8307 #217 @ data/20140226_h_10fps.avi
? 1:97.2306 2:132.678 3:90.7615 #218 @ data/20140226_h_10fps.avi
? 1:117.352 2:129.914 3:91.1222 #219 @ data/20140226_h_10fps.avi
