? 1:100 2:124 3:128
? 1:100 2:124 3:127
? 1:99 2:121 3:121
? 1:99 2:117 3:115
? 1:100 2:122 3:126
? 1:100 2:126 3:131
? 1:101 2:129 3:129
? 1:90 2:124 3:130
? 1:76 2:119 3:134
? 1:82 2:120 3:133
? 1:95 2:122 3:131
? 1:94 2:121 3:126
? 1:93 2:119 3:120
? 1:92 2:116 3:113
? 1:95 2:121 3:117
? 1:97 2:124 3:117
? 1:97 2:124 3:115
? 1:88 2:123 3:114
? 1:73 2:122 3:115
? 1:82 2:127 3:116
? 1:95 2:131 3:116
? 1:94 2:131 3:114
? 1:92 2:130 3:112
? 1:91 2:126 3:111
? 1:92 2:128 3:113
? 1:91 2:130 3:112
? 1:93 2:130 3:110
? 1:87 2:128 3:109
? 1:75 2:126 3:111
? 1:91 2:131 3:112
? 1:102 2:134 3:114
? 1:102 2:135 3:114
? 1:102 2:133 3:113
? 1:104 2:129 3:109
? 1:106 2:133 3:112
? 1:107 2:135 3:113
? 1:108 2:136 3:111
? 1:93 2:136 3:109
? 1:73 2:134 3:109
? 1:86 2:138 3:109
? 1:105 2:139 3:112
? 1:111 2:138 3:113
? 1:110 2:132 3:108
? 1:111 2:127 3:105
? 1:112 2:129 3:113
? 1:111 2:131 3:119
? 1:110 2:129 3:123
? 1:87 2:128 3:125
? 1:68 2:125 3:125
? 1:85 2:126 3:128
? 1:108 2:126 3:128
? 1:109 2:123 3:127
? 1:109 2:118 3:118
? 1:111 2:114 3:114
? 1:112 2:116 3:125
? 1:112 2:117 3:126
? 1:111 2:117 3:126
? 1:88 2:116 3:119
? 1:72 2:117 3:113
? 1:90 2:121 3:118
? 1:112 2:125 3:122
? 1:114 2:123 3:127
? 1:114 2:119 3:125
? 1:115 2:116 3:116
? 1:113 2:120 3:121
? 1:113 2:122 3:122
? 1:111 2:123 3:123
? 1:89 2:122 3:117
? 1:70 2:121 3:110
? 1:84 2:128 3:114
? 1:107 2:132 3:118
? 1:113 2:132 3:125
? 1:115 2:127 3:125
? 1:117 2:121 3:117
? 1:118 2:126 3:122
? 1:118 2:130 3:124
? 1:115 2:130 3:122
? 1:88 2:129 3:116
? 1:67 2:125 3:113
? 1:82 2:128 3:115
? 1:111 2:128 3:122
? 1:118 2:124 3:132
? 1:117 2:115 3:136
? 1:116 2:108 3:135
? 1:115 2:109 3:138
? 1:113 2:110 3:122
? 1:112 2:111 3:101
? 1:91 2:110 3:77
? 1:72 2:110 3:64
? 1:86 2:112 3:56
? 1:112 2:114 3:56
? 1:121 2:112 3:57
? 1:123 2:109 3:60
? 1:125 2:109 3:67
? 1:128 2:120 3:85
? 1:125 2:127 3:98
? 1:122 2:129 3:112
? 1:96 2:130 3:121
? 1:81 2:131 3:128
? 1:90 2:136 3:122
